"","X","Team1","Team2","match_date","Season_Year","Season_Winner","Venue_Home_Team","City_Name","Country_Name","Toss_Winner","match_winner"
"1",1,"Royal Challengers Bangalore","Kolkata Knight Riders","4/18/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Royal Challengers Bangalore","Kolkata Knight Riders"
"2",2,"Kings XI Punjab","Chennai Super Kings","4/19/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Chennai Super Kings","Chennai Super Kings"
"3",3,"Delhi Daredevils","Rajasthan Royals","4/19/2008",2008,"Rajasthan Royals","Delhi Daredevils","Delhi","India","Rajasthan Royals","Delhi Daredevils"
"4",4,"Mumbai Indians","Royal Challengers Bangalore","4/20/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Mumbai Indians","Royal Challengers Bangalore"
"5",5,"Kolkata Knight Riders","Deccan Chargers","4/20/2008",2008,"Rajasthan Royals","Kolkata Knight Riders","Kolkata","India","Deccan Chargers","Kolkata Knight Riders"
"6",6,"Rajasthan Royals","Kings XI Punjab","4/21/2008",2008,"Rajasthan Royals","Rajasthan Royals","Jaipur","India","Kings XI Punjab","Rajasthan Royals"
"7",7,"Deccan Chargers","Delhi Daredevils","4/22/2008",2008,"Rajasthan Royals","Sunrisers Hyderabad","Hyderabad","India","Deccan Chargers","Delhi Daredevils"
"8",8,"Chennai Super Kings","Mumbai Indians","4/23/2008",2008,"Rajasthan Royals","Chennai Super Kings","Chennai","India","Mumbai Indians","Chennai Super Kings"
"9",9,"Deccan Chargers","Rajasthan Royals","4/24/2008",2008,"Rajasthan Royals","Sunrisers Hyderabad","Hyderabad","India","Rajasthan Royals","Rajasthan Royals"
"10",10,"Kings XI Punjab","Mumbai Indians","4/25/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Mumbai Indians","Kings XI Punjab"
"11",11,"Royal Challengers Bangalore","Rajasthan Royals","4/26/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Rajasthan Royals","Rajasthan Royals"
"12",12,"Chennai Super Kings","Kolkata Knight Riders","4/26/2008",2008,"Rajasthan Royals","Chennai Super Kings","Chennai","India","Kolkata Knight Riders","Chennai Super Kings"
"13",13,"Mumbai Indians","Deccan Chargers","4/27/2008",2008,"Rajasthan Royals","Mumbai Indians","Mumbai","India","Deccan Chargers","Deccan Chargers"
"14",14,"Kings XI Punjab","Delhi Daredevils","4/27/2008",2008,"Rajasthan Royals","Kings XI Punjab","Chandigarh","India","Delhi Daredevils","Kings XI Punjab"
"15",15,"Royal Challengers Bangalore","Chennai Super Kings","4/28/2008",2008,"Rajasthan Royals","Royal Challengers Bangalore","Bangalore","India","Chennai Super Kings","Chennai Super Kings"
"16",16,"Kolkata Knight Riders","Mumbai Indians","4/29/2008",2008,"Rajasthan Royals","Kolkata Knight Riders","Kolkata","India","Kolkata Knight Riders","Mumbai Indians"
"17",17,"Delhi Daredevils","Royal Challengers Bangalore","4/30/2008",2008,"Rajasthan Royals","Delhi Daredevils","Delhi","India","Royal Challengers Bangalore","Delhi Daredevils"
