Team1,Team2,match_date,Season_Year,Season_Winner,Venue_Home_Team,City_Name,Country_Name,Toss_Winner,match_winner
Deccan Chargers,Chennai Super Kings,5/27/2008,2008,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,India,Deccan Chargers,Chennai Super Kings
Kings XI Punjab,Gujarat Lions,5/7/2017,2017,Mumbai Indians,Kings XI Punjab,Mohali,India,Gujarat Lions,Gujarat Lions
Sunrisers Hyderabad,Kolkata Knight Riders,5/25/2016,2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi,India,Kolkata Knight Riders,Sunrisers Hyderabad
Royal Challengers Bangalore,Mumbai Indians,5/14/2012,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,India,Mumbai Indians,Mumbai Indians
Kings XI Punjab,Mumbai Indians,5/10/2011,2011,Chennai Super Kings,Kings XI Punjab,Chandigarh,India,Mumbai Indians,Kings XI Punjab
Chennai Super Kings,Rajasthan Royals,4/30/2009,2009,Deccan Chargers,Other,Centurion,South Africa,Rajasthan Royals,Chennai Super Kings
Kings XI Punjab,Deccan Chargers,5/23/2008,2008,Rajasthan Royals,Kings XI Punjab,Chandigarh,India,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Kings XI Punjab,5/31/2008,2008,Rajasthan Royals,Mumbai Indians,Mumbai,India,Kings XI Punjab,Chennai Super Kings
Royal Challengers Bangalore,Kolkata Knight Riders,4/24/2014,2014,Kolkata Knight Riders,Other,Abu Dhabi,U.A.E,Royal Challengers Bangalore,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,4/8/2015,2015,Mumbai Indians,Kolkata Knight Riders,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,4/27/2015,2015,Mumbai Indians,Kings XI Punjab,Chandigarh,India,Kings XI Punjab,Sunrisers Hyderabad
Delhi Daredevils,Chennai Super Kings,5/12/2015,2015,Mumbai Indians,Delhi Daredevils,Raipur,India,Chennai Super Kings,Delhi Daredevils
Sunrisers Hyderabad,Kings XI Punjab,4/17/2017,2017,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,India,Kings XI Punjab,Sunrisers Hyderabad
Rajasthan Royals,Royal Challengers Bangalore,4/26/2014,2014,Kolkata Knight Riders,Other,Abu Dhabi,U.A.E,Rajasthan Royals,Rajasthan Royals
Deccan Chargers,Delhi Daredevils,3/21/2010,2010,Chennai Super Kings,Kolkata Knight Riders,Cuttack,India,Deccan Chargers,Deccan Chargers
Kings XI Punjab,Rajasthan Royals,5/23/2014,2014,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,India,Rajasthan Royals,Kings XI Punjab
Mumbai Indians,Kings XI Punjab,5/21/2008,2008,Rajasthan Royals,Mumbai Indians,Mumbai,India,Mumbai Indians,Kings XI Punjab
Delhi Daredevils,Mumbai Indians,4/27/2012,2012,Kolkata Knight Riders,Delhi Daredevils,Delhi,India,Mumbai Indians,Delhi Daredevils
Kolkata Knight Riders,Chennai Super Kings,5/20/2014,2014,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders
Kochi Tuskers Kerala,Deccan Chargers,4/27/2011,2011,Chennai Super Kings,Kochi Tuskers Kerala,Kochi,India,Kochi Tuskers Kerala,Deccan Chargers
Rising Pune Supergiants,Royal Challengers Bangalore,4/29/2017,2017,Mumbai Indians,Rising Pune Supergiants,Pune,India,Royal Challengers Bangalore,Rising Pune Supergiants
Chennai Super Kings,Mumbai Indians,4/6/2010,2010,Chennai Super Kings,Chennai Super Kings,Chennai,India,Chennai Super Kings,Chennai Super Kings
Royal Challengers Bangalore,Gujarat Lions,4/27/2017,2017,Mumbai Indians,Royal Challengers Bangalore,Bengaluru,India,Gujarat Lions,Gujarat Lions
Rajasthan Royals,Chennai Super Kings,4/23/2014,2014,Kolkata Knight Riders,Other,Abu Dhabi,U.A.E,Rajasthan Royals,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,5/20/2011,2011,Chennai Super Kings,Mumbai Indians,Mumbai,India,Mumbai Indians,Rajasthan Royals
Kolkata Knight Riders,Royal Challengers Bangalore,5/8/2008,2008,Rajasthan Royals,Kolkata Knight Riders,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Sunrisers Hyderabad,5/11/2013,2013,Mumbai Indians,Kings XI Punjab,Chandigarh,India,Kings XI Punjab,Sunrisers Hyderabad
Rising Pune Supergiants,Kolkata Knight Riders,4/26/2017,2017,Mumbai Indians,Rising Pune Supergiants,Pune,India,Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Rajasthan Royals,5/13/2014,2014,Kolkata Knight Riders,Chennai Super Kings,Ranchi,India,Rajasthan Royals,Chennai Super Kings
Kings XI Punjab,Rajasthan Royals,5/5/2012,2012,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,India,Rajasthan Royals,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,4/28/2015,2015,Mumbai Indians,Chennai Super Kings,Chennai,India,Kolkata Knight Riders,Chennai Super Kings
Kolkata Knight Riders,Deccan Chargers,4/11/2011,2011,Chennai Super Kings,Kolkata Knight Riders,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Rajasthan Royals,3/24/2010,2010,Chennai Super Kings,Kings XI Punjab,Chandigarh,India,Kings XI Punjab,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,4/26/2009,2009,Deccan Chargers,Other,Port Elizabeth,South Africa,Royal Challengers Bangalore,Delhi Daredevils
Kolkata Knight Riders,Royal Challengers Bangalore,5/12/2013,2013,Mumbai Indians,Chennai Super Kings,Ranchi,India,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,5/17/2017,2017,Mumbai Indians,Royal Challengers Bangalore,Bengaluru,India,Kolkata Knight Riders,Kolkata Knight Riders
Rising Pune Supergiants,Mumbai Indians,5/1/2016,2016,Sunrisers Hyderabad,Rising Pune Supergiants,Pune,India,Mumbai Indians,Mumbai Indians
Mumbai Indians,Delhi Daredevils,4/16/2012,2012,Kolkata Knight Riders,Mumbai Indians,Mumbai,India,Delhi Daredevils,Delhi Daredevils
Kolkata Knight Riders,Sunrisers Hyderabad,4/14/2013,2013,Mumbai Indians,Kolkata Knight Riders,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders
Kings XI Punjab,Kolkata Knight Riders,5/3/2008,2008,Rajasthan Royals,Kings XI Punjab,Chandigarh,India,Kings XI Punjab,Kings XI Punjab
Chennai Super Kings,Delhi Daredevils,5/2/2008,2008,Rajasthan Royals,Chennai Super Kings,Chennai,India,Chennai Super Kings,Delhi Daredevils
Rajasthan Royals,Delhi Daredevils,4/12/2011,2011,Chennai Super Kings,Rajasthan Royals,Jaipur,India,Delhi Daredevils,Rajasthan Royals
